address,date,unixtime,uptime,pressure,altitude,verticalSpeedAVG,verticalSpeedMAX,verticalSpeedMIN,temperatures0,temperatures1,temperatures2,accXAxisAVG,accXAxisMAX,accXAxisMIN,accYAxisAVG,accYAxisMAX,accYAxisMIN,accZAxisAVG,accZAxisMAX,accZAxisMIN,voltagesAVG,voltagesMAX,voltagesMIN,currentsAVG,currentsMAX,currentsMIN,state,sub_state,switches_status,errors
0,2022/02/14 20:44:56,1644871496,42722896,101656,-2750,0,0,-1,215,223,0,-56,-52,-60,-139,-136,-144,918,924,916,993,994,984,4,41,1,3,0,0xE0,0x0000
1,2022/02/14 20:45:07,1644871507,42733002,101656,-2750,-3,0,-6,216,224,0,-57,-52,-76,-140,-132,-148,916,924,904,947,984,935,237,300,44,0,0,0xFF,0x0000
2,2022/02/14 20:45:18,1644871518,42744004,101656,-2750,0,3,-1,220,225,0,-57,-52,-60,-140,-128,-148,916,924,912,944,945,942,256,270,254,0,0,0xFF,0x0000
3,2022/02/14 20:45:29,1644871529,42755004,101657,-2758,0,3,-1,221,226,0,-56,-52,-64,-140,-136,-144,916,920,908,979,988,943,74,268,31,0,0,0xFD,0x0000
4,2022/02/14 20:45:40,1644871540,42766018,101663,-2808,-2,0,-7,220,227,0,-56,-52,-64,-140,-136,-148,916,924,908,988,988,988,30,31,30,0,0,0xFD,0x0000
5,2022/02/14 20:45:51,1644871551,42777003,101662,-2800,0,2,-4,220,228,0,-56,-52,-68,-140,-136,-148,916,924,908,988,988,988,31,31,31,0,0,0xFD,0x0000
6,2022/02/14 20:46:02,1644871562,42788000,101660,-2783,0,2,-3,220,228,0,-56,-52,-64,-141,-136,-148,916,928,908,988,988,988,30,31,30,0,0,0xFD,0x0000
7,2022/02/14 20:46:13,1644871573,42799000,101663,-2808,0,1,-2,219,228,0,-56,-52,-64,-140,-136,-148,916,924,912,988,988,988,30,31,30,0,0,0xFD,0x0000
8,2022/02/14 20:46:24,1644871584,42810002,101659,-2775,0,4,-1,219,228,0,-56,-52,-60,-140,-136,-144,917,924,912,988,988,988,30,31,30,0,0,0xFD,0x0000
9,2022/02/14 20:46:35,1644871595,42821001,101660,-2783,1,5,-1,219,228,0,-56,-52,-64,-140,-136,-148,916,924,912,988,988,988,31,31,31,0,0,0xFD,0x0000
10,2022/02/14 20:46:46,1644871606,42832003,101658,-2766,0,1,-5,219,227,0,-56,-52,-64,-140,-136,-148,916,924,908,988,988,988,31,31,31,0,0,0xFD,0x0000
11,2022/02/14 20:46:57,1644871617,42843001,101658,-2766,0,1,-1,219,227,0,-56,-52,-60,-140,-132,-148,916,924,912,988,988,988,30,31,30,0,0,0xFD,0x0000
12,2022/02/14 20:47:08,1644871628,42854002,101658,-2766,0,2,-1,218,227,0,-56,-48,-64,-140,-136,-148,917,924,912,988,988,988,30,31,30,0,0,0xFD,0x0000
13,2022/02/14 20:47:19,1644871639,42865003,101660,-2783,-1,0,-2,218,227,0,-56,-52,-60,-140,-132,-148,916,924,908,988,988,988,30,31,30,0,0,0xFD,0x0000
14,2022/02/14 20:47:30,1644871650,42876001,101662,-2800,0,1,-2,218,227,0,-56,-52,-64,-140,-132,-148,916,924,912,988,988,988,30,31,30,0,0,0xFD,0x0000
15,2022/02/14 20:47:41,1644871661,42887002,101659,-2775,0,2,-1,218,227,0,-56,-52,-60,-141,-136,-148,917,924,912,988,988,988,30,31,30,0,0,0xFD,0x0000
16,2022/02/14 20:47:52,1644871672,42898006,101662,-2800,0,2,-2,218,227,0,-55,-52,-60,-140,-136,-144,916,920,908,988,988,988,30,31,30,0,0,0xFD,0x0000
17,2022/02/14 20:48:03,1644871683,42909001,101662,-2800,0,0,-4,218,227,0,-56,-48,-64,-141,-136,-148,917,924,912,988,988,988,30,31,30,0,0,0xFD,0x0000
18,2022/02/14 20:48:14,1644871694,42920002,101664,-2816,-1,0,-3,218,227,0,-56,-52,-64,-140,-136,-144,916,924,908,988,988,988,30,31,30,0,0,0xFD,0x0000
19,2022/02/14 20:48:25,1644871705,42931000,101664,-2816,1,3,0,218,227,0,-56,-52,-60,-140,-136,-148,917,924,912,988,988,988,30,31,30,0,0,0xFD,0x0000
20,2022/02/14 20:48:36,1644871716,42942004,101668,-2849,-2,1,-7,218,227,0,-56,-52,-60,-140,-136,-148,916,924,908,988,988,988,30,31,30,0,0,0xFD,0x0000
21,2022/02/14 20:48:47,1644871727,42953000,101668,-2849,-1,0,-5,218,226,0,-56,-52,-60,-140,-132,-148,916,924,908,988,988,988,30,31,30,0,0,0xFD,0x0000
22,2022/02/14 20:48:58,1644871738,42964000,101666,-2833,0,2,0,218,226,0,-56,-52,-64,-140,-136,-148,917,924,908,988,988,988,30,31,30,0,0,0xFD,0x0000
23,2022/02/14 20:49:09,1644871749,42975001,101670,-2866,-3,-1,-6,218,227,0,-55,-52,-60,-140,-136,-148,917,924,912,988,988,988,30,31,30,0,0,0xFD,0x0000
24,2022/02/14 20:49:20,1644871760,42986002,101672,-2882,0,2,-2,218,227,0,-56,-52,-64,-140,-136,-148,916,920,908,988,988,988,30,31,30,0,0,0xFD,0x0000
25,2022/02/14 20:49:31,1644871771,42997002,101671,-2874,0,1,-3,218,226,0,-56,-52,-60,-140,-136,-148,916,924,908,988,988,988,30,31,30,0,0,0xFD,0x0000
26,2022/02/14 20:49:42,1644871782,43008000,101665,-2824,3,5,1,218,226,0,-56,-52,-64,-140,-132,-148,916,924,912,988,988,988,30,31,30,0,0,0xFD,0x0000
27,2022/02/14 20:49:53,1644871793,43019003,101664,-2816,2,5,0,218,226,0,-56,-48,-64,-140,-136,-144,917,924,912,988,988,988,30,31,30,0,0,0xFD,0x0000
28,2022/02/14 20:50:04,1644871804,43030000,101666,-2833,0,1,-3,218,227,0,-56,-52,-64,-140,-136,-144,916,924,908,988,988,988,30,31,30,0,0,0xFD,0x0000
29,2022/02/14 20:50:15,1644871815,43041001,101669,-2858,-1,0,-4,218,226,0,-56,-48,-64,-140,-136,-144,917,924,912,988,988,988,30,31,30,0,0,0xFD,0x0000
30,2022/02/14 20:50:26,1644871826,43052001,101665,-2824,0,2,-1,218,226,0,-56,-52,-60,-140,-136,-148,916,924,908,988,988,988,31,31,31,0,0,0xFD,0x0000
31,2022/02/14 20:50:37,1644871837,43063000,101663,-2808,3,6,1,218,227,0,-56,-52,-60,-140,-136,-148,917,924,908,988,988,988,31,31,31,0,0,0xFD,0x0000
32,2022/02/14 20:50:48,1644871848,43074016,101665,-2824,0,2,-3,218,226,0,-56,-52,-60,-140,-136,-148,917,924,908,988,988,988,30,31,30,0,0,0xFD,0x0000
33,2022/02/14 20:50:59,1644871859,43085001,101668,-2849,-1,1,-4,218,227,0,-56,-52,-64,-140,-136,-148,916,924,908,988,988,988,30,31,30,0,0,0xFD,0x0000
34,2022/02/14 20:51:10,1644871870,43096004,101671,-2874,-2,0,-6,218,227,0,-56,-52,-60,-140,-136,-144,917,924,912,988,988,988,30,31,30,0,0,0xFD,0x0000
35,2022/02/14 20:51:21,1644871881,43107003,101681,-2957,-2,4,-10,218,227,0,-56,-52,-64,-140,-132,-144,917,924,908,988,988,988,30,31,30,0,0,0xFD,0x0000
36,2022/02/14 20:51:32,1644871892,43118002,101684,-2982,-7,-3,-10,218,227,0,-56,-48,-60,-140,-136,-144,917,924,912,988,988,988,30,31,30,0,0,0xFD,0x0000
37,2022/02/14 20:51:43,1644871903,43129003,101682,-2965,0,6,-3,218,227,0,-56,-52,-64,-140,-132,-148,916,924,912,988,988,988,30,31,30,0,0,0xFD,0x0000
38,2022/02/14 20:51:54,1644871914,43140004,101681,-2957,2,6,-1,218,226,0,-56,-52,-60,-141,-136,-144,917,924,912,988,988,988,30,31,30,0,0,0xFD,0x0000
39,2022/02/14 20:52:05,1644871925,43151002,101676,-2916,0,2,-1,218,226,0,-56,-52,-60,-140,-136,-148,916,924,908,988,988,988,30,31,30,0,0,0xFD,0x0000
40,2022/02/14 20:52:16,1644871936,43162002,101674,-2899,2,6,0,218,226,0,-56,-52,-64,-140,-132,-148,916,924,908,988,988,988,30,31,30,0,0,0xFD,0x0000
41,2022/02/14 20:52:27,1644871947,43173001,101681,-2957,-4,0,-6,218,226,0,-56,-52,-60,-140,-136,-148,916,924,908,988,988,988,30,31,30,0,0,0xFD,0x0000
42,2022/02/14 20:52:38,1644871958,43184000,101681,-2957,0,1,-2,218,226,0,-56,-48,-64,-140,-132,-148,916,924,908,988,988,988,30,31,30,0,0,0xFD,0x0000
43,2022/02/14 20:52:49,1644871969,43195000,101678,-2932,0,3,-3,218,226,0,-56,-52,-60,-140,-136,-148,917,924,912,988,988,988,30,31,30,0,0,0xFD,0x0000
44,2022/02/14 20:53:00,1644871980,43206000,101675,-2907,1,3,0,218,226,0,-56,-52,-64,-140,-132,-148,916,924,908,988,988,988,30,31,30,0,0,0xFD,0x0000
45,2022/02/14 20:53:11,1644871991,43217001,101676,-2916,0,2,-1,218,226,0,-56,-52,-64,-140,-136,-144,916,924,908,988,988,988,30,31,30,0,0,0xFD,0x0000
46,2022/02/14 20:53:22,1644872002,43228003,101678,-2932,0,1,-2,218,226,0,-56,-52,-64,-140,-136,-148,917,924,912,988,988,988,30,31,30,0,0,0xFD,0x0000
47,2022/02/14 20:53:33,1644872013,43239004,101677,-2924,0,2,-1,218,226,0,-56,-48,-60,-140,-132,-148,916,924,912,988,988,988,30,31,30,0,0,0xFD,0x0000
48,2022/02/14 20:53:44,1644872024,43250000,101679,-2941,-1,0,-3,218,226,0,-56,-48,-64,-141,-136,-148,916,924,908,988,988,988,30,31,30,0,0,0xFD,0x0000
49,2022/02/14 20:53:55,1644872035,43261000,101679,-2941,0,0,-1,218,226,0,-56,-52,-60,-140,-136,-148,916,924,912,988,988,988,30,31,30,0,0,0xFD,0x0000
50,2022/02/14 20:54:06,1644872046,43272000,101677,-2924,1,4,-1,218,226,0,-56,-48,-64,-140,-136,-144,916,924,912,988,988,988,30,31,30,0,0,0xFD,0x0000
51,2022/02/14 20:54:17,1644872057,43283001,101677,-2924,0,2,-2,218,226,0,-56,-52,-60,-140,-132,-148,917,924,908,988,988,988,30,31,30,0,0,0xFD,0x0000
52,2022/02/14 20:54:28,1644872068,43294003,101677,-2924,0,1,-1,218,226,0,-56,-48,-60,-140,-136,-148,916,924,912,988,988,988,30,31,30,0,0,0xFD,0x0000
53,2022/02/14 20:54:39,1644872079,43305003,101680,-2949,-1,0,-4,218,226,0,-56,-52,-64,-140,-136,-144,916,924,912,988,988,988,30,31,30,0,0,0xFD,0x0000
54,2022/02/14 20:54:50,1644872090,43316000,101672,-2882,3,7,0,218,226,0,-56,-52,-60,-140,-136,-148,916,924,912,988,988,988,30,31,30,0,0,0xFD,0x0000
55,2022/02/14 20:55:01,1644872101,43327000,101670,-2866,1,4,-1,218,226,0,-56,-52,-60,-141,-136,-148,917,924,908,988,988,988,30,31,30,0,0,0xFD,0x0000
