address,date,unixtime,uptime,state,sub_state,event,payload0,payload1,payload2,payload3,payload4
0,2022/02/19 16:54:14,1645289654,193599,1,0,200,250,255,111,3,0
1,2022/02/19 16:54:19,1645289659,198016,1,0,200,251,255,111,3,0
2,2022/02/19 16:54:21,1645289661,246,0,0,69,24,0,0,0,7
3,2022/02/19 16:54:22,1645289662,777,1,0,200,254,255,110,3,0
4,2022/02/19 16:54:27,1645289667,6065,1,0,200,255,255,111,3,0
5,2022/02/19 16:50:58,1645289458,11,0,0,69,2,0,0,0,7
6,2022/02/19 16:51:00,1645289460,2724,1,0,200,255,255,61,3,0
7,2022/02/19 18:04:44,1645293884,11,0,0,69,2,0,0,0,7
8,2022/02/19 18:24:15,1645295055,1170763,1,0,200,255,255,53,3,0
9,2022/02/19 18:30:09,1645295409,11,0,0,69,2,0,0,0,7
10,2022/02/19 19:06:08,1645297568,2159532,2,0,20,2,0,1,0,0
11,2022/02/19 19:06:23,1645297583,2174563,2,1,12,1,2,1,1,0
12,2022/02/19 19:07:24,1645297644,2235760,2,2,13,1,0,1,1,0
13,2022/02/19 19:08:21,1645297701,2292452,2,3,13,0,1,0,0,0
14,2022/02/19 19:08:26,1645297706,2297665,3,0,20,3,0,0,0,0
15,2022/02/19 19:08:41,1645297721,2312699,4,1,12,2,2,1,1,0
16,2022/02/19 19:09:29,1645297769,2360864,4,2,13,0,0,1,1,0
17,2022/02/19 19:36:00,1645299360,3951593,4,3,30,102,148,4,0,0
18,2022/02/19 19:36:15,1645299375,3966611,4,4,12,0,0,1,1,0
19,2022/02/19 23:06:34,1645311994,16585033,5,5,1,102,108,105,103,5
20,2022/02/19 23:06:34,1645311994,16585080,5,1,15,1,1,1,1,0
21,2022/02/19 23:06:40,1645312000,16591584,5,0,200,255,255,54,3,0
22,2022/02/19 23:06:45,1645312005,16596093,5,0,200,254,255,55,3,0
23,2022/02/19 23:06:50,1645312010,16601062,5,0,200,255,255,55,3,0
24,2022/02/19 23:06:55,1645312015,16606017,5,0,200,255,255,55,3,0
25,2022/02/19 23:07:00,1645312020,16611040,5,0,200,255,255,56,3,0
26,2022/02/19 23:07:05,1645312025,16616049,5,0,200,255,255,56,3,0
27,2022/02/19 23:07:10,1645312030,16621070,5,0,200,255,255,56,3,0
28,2022/02/19 23:07:15,1645312035,16626086,5,0,200,255,255,56,3,0
29,2022/02/19 23:07:20,1645312040,16631205,5,0,200,255,255,56,3,0
30,2022/02/19 23:07:27,1645312047,16638038,5,0,200,255,255,57,3,0
31,2022/02/19 23:08:40,1645312120,16711203,5,1,15,1,1,1,1,0
32,2022/02/19 23:09:02,1645312142,16733638,0,0,1,102,108,105,103,0
33,2022/02/19 23:09:06,1645312146,16737995,0,0,10,0,0,0,0,0
34,2022/02/19 23:09:12,1645312152,16743218,0,0,10,2,0,0,0,0
35,2022/02/19 23:09:45,1645312185,16776101,0,0,14,0,0,0,0,0
36,2022/02/19 23:09:51,1645312191,16782718,0,0,14,2,0,0,0,0
37,2022/02/19 23:09:59,1645312199,16790610,0,0,200,255,255,56,3,0
38,2022/02/19 23:10:07,1645312207,566,0,0,69,24,0,0,0,7
39,2022/02/20 19:40:46,1645386046,11,0,0,69,2,0,0,0,7
40,20106/02/07 06:28:15,-1,-1,255,255,255,255,255,255,255,255
41,20106/02/07 06:28:15,-1,-1,255,255,255,255,255,255,255,255
42,20106/02/07 06:28:15,-1,-1,255,255,255,255,255,255,255,255
43,20106/02/07 06:28:15,-1,-1,255,255,255,255,255,255,255,255
44,20106/02/07 06:28:15,-1,-1,255,255,255,255,255,255,255,255
45,20106/02/07 06:28:15,-1,-1,255,255,255,255,255,255,255,255
46,20106/02/07 06:28:15,-1,-1,255,255,255,255,255,255,255,255
47,20106/02/07 06:28:15,-1,-1,255,255,255,255,255,255,255,255
48,20106/02/07 06:28:15,-1,-1,255,255,255,255,255,255,255,255
49,20106/02/07 06:28:15,-1,-1,255,255,255,255,255,255,255,255
50,20106/02/07 06:28:15,-1,-1,255,255,255,255,255,255,255,255
