address,date,unixtime,uptime,state,sub_state,event,payload0,payload1,payload2,payload3,payload4
0,2022/03/17 19:51:32,1647546692,1223194,1,0,200,251,255,158,3,0
1,2022/03/17 19:51:34,1647546694,1225336,1,0,200,252,255,158,3,0
2,2022/03/17 19:51:36,1647546696,1227195,1,0,200,254,255,158,3,0
3,2022/03/17 19:51:39,1647546699,1230494,1,0,200,255,255,158,3,0
4,2022/03/17 19:54:30,1647546870,1401128,1,0,200,255,255,95,3,0
5,2022/03/17 19:55:08,1647546908,11,0,0,69,2,0,0,0,9
6,2022/03/17 19:55:09,1647546909,550,1,0,200,255,255,156,4,0
7,2022/03/17 19:55:44,1647546944,36895,1,0,200,255,255,132,3,0
8,2000/01/01 00:00:00,946684800,11,0,0,69,2,0,0,0,9
9,2000/01/01 00:00:00,946684800,550,1,0,200,255,255,14,4,0
10,2000/01/01 00:03:24,946685004,204759,1,0,200,255,255,93,3,0
11,2000/01/01 00:03:56,946685036,11,0,0,69,2,0,0,0,9
12,2000/01/01 00:03:57,946685037,652,1,0,200,255,255,78,3,0
13,2000/01/01 00:04:23,946685063,11,0,0,69,2,0,0,0,9
14,2022/03/18 15:59:45,1647619185,65284,1,0,200,255,255,73,3,0
15,2022/03/18 16:00:12,1647619212,11,0,0,69,2,0,0,0,9
16,2022/03/18 16:00:13,1647619213,550,1,0,200,255,255,135,4,0
17,2022/03/18 16:01:39,1647619299,87172,1,0,200,255,255,87,3,0
18,2022/03/18 16:12:11,1647619931,11,0,0,69,2,0,0,0,9
19,2022/03/18 16:12:20,1647619940,9545,1,0,200,254,255,141,4,0
20,2022/03/18 16:12:21,1647619941,10300,1,0,200,255,255,200,3,0
21,2022/03/18 16:14:24,1647620064,11,0,0,69,2,0,0,0,9
22,2022/03/18 16:15:37,1647620137,73133,1,0,200,252,255,104,4,0
23,2022/03/18 16:15:38,1647620138,74419,1,0,200,251,255,213,3,0
24,2022/03/18 16:16:26,1647620186,122935,1,0,12,0,1,0,28,32
25,2022/03/18 16:16:26,1647620186,122937,1,0,12,1,1,0,28,32
26,2022/03/18 16:16:26,1647620186,122939,1,0,12,2,1,0,14,16
27,2022/03/18 16:16:26,1647620186,122941,1,0,12,3,1,0,14,16
28,2022/03/18 16:16:26,1647620186,122952,1,0,20,2,0,1,0,0
29,2022/03/18 17:16:41,1647623801,3737960,2,0,13,2,0,0,0,0
30,2022/03/18 17:16:41,1647623801,3737969,2,0,13,3,0,0,0,0
31,2022/03/18 18:16:41,1647627401,7337948,2,0,13,0,0,0,0,0
32,2022/03/18 18:16:41,1647627401,7337963,2,0,13,1,0,0,0,0
33,2022/03/18 18:16:56,1647627416,7352929,2,0,20,3,0,0,0,0
34,2022/03/18 18:16:56,1647627416,7352937,3,0,15,0,0,0,0,0
35,2022/03/18 18:16:56,1647627416,7352939,3,0,15,1,0,0,0,0
36,2022/03/18 18:16:56,1647627416,7352941,3,0,15,2,0,0,0,0
37,2022/03/18 18:16:56,1647627416,7352943,3,0,15,3,0,0,0,0
38,2022/03/18 18:18:57,1647627537,7473009,3,0,15,0,0,0,0,0
39,2022/03/18 18:18:57,1647627537,7473011,3,0,15,1,0,0,0,0
40,2022/03/18 18:18:57,1647627537,7473013,3,0,15,2,0,0,0,0
41,2022/03/18 18:18:57,1647627537,7473015,3,0,15,3,0,0,0,0
42,2022/03/18 18:20:58,1647627658,7594007,3,0,15,0,0,0,0,0
43,2022/03/18 18:20:58,1647627658,7594009,3,0,15,1,0,0,0,0
44,2022/03/18 18:20:58,1647627658,7594011,3,0,15,2,0,0,0,0
45,2022/03/18 18:20:58,1647627658,7594013,3,0,15,3,0,0,0,0
46,2022/03/18 18:22:59,1647627779,7715013,3,0,15,0,0,0,0,0
47,2022/03/18 18:22:59,1647627779,7715015,3,0,15,1,0,0,0,0
48,2022/03/18 18:22:59,1647627779,7715017,3,0,15,2,0,0,0,0
49,2022/03/18 18:22:59,1647627779,7715019,3,0,15,3,0,0,0,0
50,2022/03/18 18:25:00,1647627900,7836005,3,0,15,0,0,0,0,0
51,2022/03/18 18:25:00,1647627900,7836008,3,0,15,1,0,0,0,0
52,2022/03/18 18:25:00,1647627900,7836010,3,0,15,2,0,0,0,0
53,2022/03/18 18:25:00,1647627900,7836012,3,0,15,3,0,0,0,0
54,2022/03/18 18:27:01,1647628021,7957006,3,0,15,0,0,0,0,0
55,2022/03/18 18:27:01,1647628021,7957008,3,0,15,1,0,0,0,0
56,2022/03/18 18:27:01,1647628021,7957010,3,0,15,2,0,0,0,0
57,2022/03/18 18:27:01,1647628021,7957012,3,0,15,3,0,0,0,0
58,2022/03/18 18:29:02,1647628142,8078010,3,0,15,0,0,0,0,0
59,2022/03/18 18:29:02,1647628142,8078013,3,0,15,1,0,0,0,0
60,2022/03/18 18:29:02,1647628142,8078015,3,0,15,2,0,0,0,0
61,2022/03/18 18:29:02,1647628142,8078017,3,0,15,3,0,0,0,0
62,2022/03/18 18:31:03,1647628263,8199011,3,0,15,0,0,0,0,0
63,2022/03/18 18:31:03,1647628263,8199013,3,0,15,1,0,0,0,0
64,2022/03/18 18:31:03,1647628263,8199015,3,0,15,2,0,0,0,0
65,2022/03/18 18:31:03,1647628263,8199017,3,0,15,3,0,0,0,0
66,2022/03/18 18:33:04,1647628384,8320012,3,0,15,0,0,0,0,0
67,2022/03/18 18:33:04,1647628384,8320014,3,0,15,1,0,0,0,0
68,2022/03/18 18:33:04,1647628384,8320016,3,0,15,2,0,0,0,0
69,2022/03/18 18:33:04,1647628384,8320018,3,0,15,3,0,0,0,0
70,2022/03/18 18:35:05,1647628505,8441009,3,0,15,0,0,0,0,0
71,2022/03/18 18:35:05,1647628505,8441011,3,0,15,1,0,0,0,0
72,2022/03/18 18:35:05,1647628505,8441013,3,0,15,2,0,0,0,0
73,2022/03/18 18:35:05,1647628505,8441015,3,0,15,3,0,0,0,0
74,2022/03/18 18:37:06,1647628626,8562005,3,0,15,0,0,0,0,0
75,2022/03/18 18:37:06,1647628626,8562007,3,0,15,1,0,0,0,0
76,2022/03/18 18:37:06,1647628626,8562009,3,0,15,2,0,0,0,0
77,2022/03/18 18:37:06,1647628626,8562011,3,0,15,3,0,0,0,0
78,2022/03/18 18:39:07,1647628747,8683011,3,0,15,0,0,0,0,0
79,2022/03/18 18:39:07,1647628747,8683014,3,0,15,1,0,0,0,0
80,2022/03/18 18:39:07,1647628747,8683016,3,0,15,2,0,0,0,0
81,2022/03/18 18:39:07,1647628747,8683018,3,0,15,3,0,0,0,0
82,2022/03/18 18:41:08,1647628868,8804013,3,0,15,0,0,0,0,0
83,2022/03/18 18:41:08,1647628868,8804016,3,0,15,1,0,0,0,0
84,2022/03/18 18:41:08,1647628868,8804018,3,0,15,2,0,0,0,0
85,2022/03/18 18:41:08,1647628868,8804020,3,0,15,3,0,0,0,0
86,2022/03/18 18:43:09,1647628989,8925010,3,0,15,0,0,0,0,0
87,2022/03/18 18:43:09,1647628989,8925013,3,0,15,1,0,0,0,0
88,2022/03/18 18:43:09,1647628989,8925015,3,0,15,2,0,0,0,0
89,2022/03/18 18:43:09,1647628989,8925017,3,0,15,3,0,0,0,0
90,2022/03/18 18:45:10,1647629110,9046009,3,0,15,0,0,0,0,0
91,2022/03/18 18:45:10,1647629110,9046011,3,0,15,1,0,0,0,0
92,2022/03/18 18:45:10,1647629110,9046013,3,0,15,2,0,0,0,0
93,2022/03/18 18:45:10,1647629110,9046015,3,0,15,3,0,0,0,0
94,2022/03/18 18:47:11,1647629231,9167014,3,0,15,0,0,0,0,0
95,2022/03/18 18:47:11,1647629231,9167016,3,0,15,1,0,0,0,0
96,2022/03/18 18:47:11,1647629231,9167018,3,0,15,2,0,0,0,0
97,2022/03/18 18:47:11,1647629231,9167020,3,0,15,3,0,0,0,0
98,2022/03/18 18:49:12,1647629352,9288012,3,0,15,0,0,0,0,0
99,2022/03/18 18:49:12,1647629352,9288015,3,0,15,1,0,0,0,0
100,2022/03/18 18:49:12,1647629352,9288017,3,0,15,2,0,0,0,0
101,2022/03/18 18:49:12,1647629352,9288019,3,0,15,3,0,0,0,0
102,2022/03/18 18:51:13,1647629473,9409011,3,0,15,0,0,0,0,0
103,2022/03/18 18:51:13,1647629473,9409013,3,0,15,1,0,0,0,0
104,2022/03/18 18:51:13,1647629473,9409015,3,0,15,2,0,0,0,0
105,2022/03/18 18:51:13,1647629473,9409017,3,0,15,3,0,0,0,0
106,2022/03/18 18:53:14,1647629594,9530008,3,0,15,0,0,0,0,0
107,2022/03/18 18:53:14,1647629594,9530011,3,0,15,1,0,0,0,0
108,2022/03/18 18:53:14,1647629594,9530013,3,0,15,2,0,0,0,0
109,2022/03/18 18:53:14,1647629594,9530015,3,0,15,3,0,0,0,0
110,2022/03/18 18:55:15,1647629715,9651012,3,0,15,0,0,0,0,0
111,2022/03/18 18:55:15,1647629715,9651014,3,0,15,1,0,0,0,0
112,2022/03/18 18:55:15,1647629715,9651016,3,0,15,2,0,0,0,0
113,2022/03/18 18:55:15,1647629715,9651018,3,0,15,3,0,0,0,0
114,2022/03/18 18:57:16,1647629836,9772011,3,0,15,0,0,0,0,0
115,2022/03/18 18:57:16,1647629836,9772014,3,0,15,1,0,0,0,0
116,2022/03/18 18:57:16,1647629836,9772016,3,0,15,2,0,0,0,0
117,2022/03/18 18:57:16,1647629836,9772018,3,0,15,3,0,0,0,0
118,2022/03/18 18:59:17,1647629957,9893010,3,0,15,0,0,0,0,0
119,2022/03/18 18:59:17,1647629957,9893013,3,0,15,1,0,0,0,0
120,2022/03/18 18:59:17,1647629957,9893015,3,0,15,2,0,0,0,0
121,2022/03/18 18:59:17,1647629957,9893017,3,0,15,3,0,0,0,0
122,2022/03/18 19:01:18,1647630078,10014009,3,0,15,0,0,0,0,0
123,2022/03/18 19:01:18,1647630078,10014012,3,0,15,1,0,0,0,0
124,2022/03/18 19:01:18,1647630078,10014014,3,0,15,2,0,0,0,0
125,2022/03/18 19:01:18,1647630078,10014016,3,0,15,3,0,0,0,0
126,2022/03/18 19:03:19,1647630199,10135007,3,0,15,0,0,0,0,0
127,2022/03/18 19:03:19,1647630199,10135009,3,0,15,1,0,0,0,0
128,2022/03/18 19:03:19,1647630199,10135011,3,0,15,2,0,0,0,0
129,2022/03/18 19:03:19,1647630199,10135013,3,0,15,3,0,0,0,0
130,2022/03/18 19:05:20,1647630320,10256009,3,0,15,0,0,0,0,0
131,2022/03/18 19:05:20,1647630320,10256012,3,0,15,1,0,0,0,0
132,2022/03/18 19:05:20,1647630320,10256014,3,0,15,2,0,0,0,0
133,2022/03/18 19:05:20,1647630320,10256016,3,0,15,3,0,0,0,0
134,2022/03/18 19:07:21,1647630441,10377013,3,0,15,0,0,0,0,0
135,2022/03/18 19:07:21,1647630441,10377016,3,0,15,1,0,0,0,0
136,2022/03/18 19:07:21,1647630441,10377018,3,0,15,2,0,0,0,0
137,2022/03/18 19:07:21,1647630441,10377020,3,0,15,3,0,0,0,0
138,2022/03/18 19:09:22,1647630562,10498009,3,0,15,0,0,0,0,0
139,2022/03/18 19:09:22,1647630562,10498011,3,0,15,1,0,0,0,0
140,2022/03/18 19:09:22,1647630562,10498013,3,0,15,2,0,0,0,0
141,2022/03/18 19:09:22,1647630562,10498015,3,0,15,3,0,0,0,0
142,2022/03/18 19:11:23,1647630683,10619013,3,0,15,0,0,0,0,0
143,2022/03/18 19:11:23,1647630683,10619015,3,0,15,1,0,0,0,0
144,2022/03/18 19:11:23,1647630683,10619017,3,0,15,2,0,0,0,0
145,2022/03/18 19:11:23,1647630683,10619019,3,0,15,3,0,0,0,0
146,2022/03/18 19:13:24,1647630804,10740012,3,0,15,0,0,0,0,0
147,2022/03/18 19:13:24,1647630804,10740015,3,0,15,1,0,0,0,0
148,2022/03/18 19:13:24,1647630804,10740017,3,0,15,2,0,0,0,0
149,2022/03/18 19:13:24,1647630804,10740019,3,0,15,3,0,0,0,0
150,2022/03/18 19:15:25,1647630925,10861011,3,0,15,0,0,0,0,0
151,2022/03/18 19:15:25,1647630925,10861013,3,0,15,1,0,0,0,0
152,2022/03/18 19:15:25,1647630925,10861015,3,0,15,2,0,0,0,0
153,2022/03/18 19:15:25,1647630925,10861017,3,0,15,3,0,0,0,0
154,2022/03/18 19:17:26,1647631046,10982016,3,0,15,0,0,0,0,0
155,2022/03/18 19:17:26,1647631046,10982018,3,0,15,1,0,0,0,0
156,2022/03/18 19:17:26,1647631046,10982020,3,0,15,2,0,0,0,0
157,2022/03/18 19:17:26,1647631046,10982022,3,0,15,3,0,0,0,0
158,2022/03/18 19:19:27,1647631167,11103012,3,0,15,0,0,0,0,0
159,2022/03/18 19:19:27,1647631167,11103014,3,0,15,1,0,0,0,0
160,2022/03/18 19:19:27,1647631167,11103016,3,0,15,2,0,0,0,0
161,2022/03/18 19:19:27,1647631167,11103018,3,0,15,3,0,0,0,0
162,2022/03/18 19:21:28,1647631288,11224007,3,0,15,0,0,0,0,0
163,2022/03/18 19:21:28,1647631288,11224009,3,0,15,1,0,0,0,0
164,2022/03/18 19:21:28,1647631288,11224011,3,0,15,2,0,0,0,0
165,2022/03/18 19:21:28,1647631288,11224013,3,0,15,3,0,0,0,0
166,2022/03/18 19:23:29,1647631409,11345006,3,0,15,0,0,0,0,0
