address,date,unixtime,uptime,pressure,altitude,verticalSpeedAVG,verticalSpeedMAX,verticalSpeedMIN,temperatures0,temperatures1,temperatures2,accXAxisAVG,accXAxisMAX,accXAxisMIN,accYAxisAVG,accYAxisMAX,accYAxisMIN,accZAxisAVG,accZAxisMAX,accZAxisMIN,voltagesAVG,voltagesMAX,voltagesMIN,currentsAVG,currentsMAX,currentsMIN,state,sub_state,switches_status,errors
0,2022/03/17 19:51:41,1647546701,1232012,102426,-9120,0,3,-2,228,0,0,-16,-4,-28,-140,-116,-168,917,932,896,925,926,925,4,40,-5,1,0,0xC0,0x0000
1,2022/03/17 19:51:52,1647546712,1243005,102429,-9144,0,1,-3,229,0,0,-17,-12,-24,-140,-136,-148,917,924,908,926,926,926,0,1,-1,1,0,0xC0,0x0000
2,2022/03/17 19:52:03,1647546723,1254014,102427,-9128,0,3,-2,229,0,0,-16,-8,-24,-138,-132,-144,918,924,912,926,926,926,0,1,0,1,0,0xC0,0x0000
3,2022/03/17 19:52:14,1647546734,1265014,102429,-9144,0,1,-2,229,0,0,-15,-12,-20,-139,-136,-144,917,924,912,926,926,926,1,3,1,1,0,0xC0,0x0000
4,2022/03/17 19:52:25,1647546745,1276000,102430,-9153,0,1,-3,230,0,0,-16,-8,-24,-138,-132,-144,917,924,912,926,926,926,2,3,1,1,0,0xC0,0x0000
5,2022/03/17 19:52:36,1647546756,1287010,102429,-9144,0,2,-3,230,0,0,-16,-12,-24,-138,-136,-144,918,924,912,926,926,926,2,3,1,1,0,0xC0,0x0000
6,2022/03/17 19:52:47,1647546767,1298001,102431,-9161,0,3,-1,230,0,0,-16,-12,-24,-139,-132,-144,917,924,912,926,926,926,2,3,1,1,0,0xC0,0x0000
7,2022/03/17 19:52:58,1647546778,1309001,102429,-9144,0,2,-1,230,0,0,-16,-8,-24,-138,-132,-144,917,924,908,926,926,926,3,3,3,1,0,0xC0,0x0000
8,2022/03/17 19:53:09,1647546789,1320000,102433,-9177,-2,0,-5,230,0,0,-15,-8,-24,-139,-136,-144,918,924,912,926,926,926,2,3,1,1,0,0xC0,0x0000
9,2022/03/17 19:53:20,1647546800,1331005,102430,-9153,0,2,-2,230,0,0,-15,-8,-24,-139,-132,-144,918,924,912,926,926,926,2,3,1,1,0,0xC0,0x0000
10,2022/03/17 19:53:31,1647546811,1342002,102427,-9128,3,8,0,230,0,0,-16,-8,-20,-139,-132,-144,917,924,908,926,926,926,2,3,1,1,0,0xC0,0x0000
11,2022/03/17 19:53:42,1647546822,1353008,102429,-9144,-1,0,-5,230,0,0,-16,-8,-24,-139,-136,-144,918,928,912,926,926,926,2,3,1,1,0,0xC0,0x0000
12,2022/03/17 19:53:53,1647546833,1364009,102431,-9161,0,1,-2,230,0,0,-16,-8,-24,-139,-136,-144,918,924,912,926,926,926,3,3,3,1,0,0xC0,0x0000
13,2022/03/17 19:54:04,1647546844,1375000,102431,-9161,-1,0,-4,230,0,0,-16,-12,-24,-139,-136,-144,918,924,908,926,926,926,3,3,3,1,0,0xC0,0x0000
14,2022/03/17 19:54:15,1647546855,1386001,102430,-9153,1,4,0,229,0,0,-16,-8,-24,-138,-132,-144,917,924,912,926,926,926,2,3,1,1,0,0xC0,0x0000
15,2022/03/17 19:54:26,1647546866,1397001,102433,-9177,0,2,-2,229,0,0,-16,-12,-24,-139,-136,-144,919,928,912,926,926,926,2,3,1,1,0,0xC0,0x0000
16,2022/03/17 19:55:19,1647546919,11001,102430,-9153,0,0,0,230,0,0,-9,-4,-24,-148,-140,-156,918,928,912,931,1098,895,2,4,-1,1,0,0xC0,0x0000
17,2022/03/17 19:55:30,1647546930,22007,102432,-9169,0,1,-1,230,0,0,-7,0,-20,-148,-140,-156,917,924,912,926,926,926,3,3,3,1,0,0xC0,0x0000
18,2022/03/17 19:55:41,1647546941,33008,102442,-9252,-1,0,-9,230,0,0,-7,36,-52,-148,-132,-180,915,964,688,926,926,926,3,3,3,1,0,0xC0,0x0000
19,2000/01/01 00:00:11,946684811,11000,101812,-4043,0,0,0,211,0,0,-78,-4,-252,-96,444,-156,912,1336,128,924,961,891,3,4,-1,1,0,0xC0,0x0000
20,2000/01/01 00:00:22,946684822,22009,101811,-4035,0,1,0,212,0,0,-68,180,-116,-101,-52,-120,922,1404,740,925,925,925,3,3,3,1,0,0xC0,0x0000
21,2000/01/01 00:00:33,946684833,33004,101812,-4043,0,4,-1,212,0,0,-70,4,-80,-98,16,-120,919,1028,852,925,925,925,3,3,3,1,0,0xC0,0x0000
22,2000/01/01 00:00:44,946684844,44008,101810,-4027,0,2,0,212,0,0,-69,-4,-156,-97,-36,-144,926,1148,864,925,925,925,3,3,3,1,0,0xC0,0x0000
23,2000/01/01 00:00:55,946684855,55016,101811,-4035,0,0,-3,213,0,0,-71,-44,-96,-100,-80,-128,921,1204,860,925,925,925,3,3,3,1,0,0xC0,0x0000
24,2000/01/01 00:01:06,946684866,66008,101808,-4010,0,1,0,213,0,0,-72,-68,-80,-99,-96,-108,918,928,912,925,925,925,3,3,3,1,0,0xC0,0x0000
25,2000/01/01 00:01:17,946684877,77009,101812,-4043,0,1,-4,213,0,0,-72,-68,-76,-98,-92,-104,919,928,912,925,925,925,3,3,3,1,0,0xC0,0x0000
