address,date,unixtime,uptime,state,sub_state,event,payload0,payload1,payload2,payload3,payload4
0,2022/04/12 00:30:52,1649723452,86962,0,0,200,254,255,30,1,0
1,2022/04/12 00:30:53,1649723453,87274,0,0,200,255,255,32,1,0
2,2022/04/12 00:30:56,1649723456,90761,0,0,200,254,255,32,1,0
3,2022/04/12 00:30:57,1649723457,91296,0,0,200,255,255,32,1,0
4,2022/04/12 00:31:02,1649723462,96103,0,0,200,255,255,32,1,0
5,2022/04/12 00:31:07,1649723467,101061,0,0,200,255,255,32,1,0
6,2022/04/12 00:31:12,1649723472,106033,0,0,200,255,255,32,1,0
7,2022/04/12 00:31:17,1649723477,111098,0,0,200,255,255,32,1,0
8,2022/04/12 00:31:22,1649723482,116078,0,0,200,255,255,32,1,0
9,2022/04/12 00:31:27,1649723487,121035,0,0,200,255,255,32,1,0
10,2022/04/12 00:31:31,1649723491,570,0,0,69,24,0,0,0,11
11,2022/04/12 00:31:31,1649723491,1153,0,0,200,255,255,32,1,0
12,2022/04/12 00:31:36,1649723496,6035,0,0,200,255,255,32,1,0
13,2022/04/12 00:31:41,1649723501,11012,0,0,200,255,255,32,1,0
14,2022/04/12 00:31:46,1649723506,16041,0,0,200,255,255,32,1,0
15,2022/04/12 00:31:51,1649723511,21051,0,0,200,255,255,32,1,0
16,2022/04/12 00:31:56,1649723516,26079,0,0,200,255,255,32,1,0
17,2022/04/12 00:32:01,1649723521,31003,0,0,200,255,255,32,1,0
18,2022/04/12 00:32:06,1649723526,36551,0,0,200,255,255,32,1,0
19,2022/04/12 00:32:23,1649723543,11,0,0,69,2,0,0,0,11
20,2022/04/12 00:32:49,1649723569,26452,1,0,1,102,108,105,103,1
21,2022/04/12 00:33:16,1649723596,53631,1,0,1,115,105,109,95,2
22,2022/04/12 00:33:16,1649723596,53639,1,0,100,0,0,0,0,0
23,2022/04/12 00:33:31,1649723611,68004,1,0,101,0,0,0,0,0
24,2022/04/12 00:33:31,1649723611,68012,1,0,20,2,0,0,1,0
25,2022/04/12 00:33:31,1649723611,68015,2,0,12,0,1,0,28,32
26,2022/04/12 00:33:31,1649723611,68017,2,0,12,1,1,0,28,32
27,2022/04/12 00:33:31,1649723611,68019,2,0,12,2,1,0,14,16
28,2022/04/12 00:33:31,1649723611,68021,2,0,12,3,1,0,14,16
29,2022/04/12 00:33:45,1649723625,82400,2,0,1,115,105,109,95,1
30,2022/04/12 00:33:45,1649723625,82408,2,0,100,1,0,0,0,0
31,2022/04/12 00:43:31,1649724211,668014,2,0,20,1,255,0,0,0
32,2022/04/12 00:43:31,1649724211,668030,1,0,13,0,0,0,0,0
33,2022/04/12 00:43:31,1649724211,668039,1,0,13,1,0,0,0,0
34,2022/04/12 00:43:31,1649724211,668048,1,0,13,2,0,0,0,0
35,2022/04/12 00:43:31,1649724211,668057,1,0,13,3,0,0,0,0
36,20106/02/07 06:28:15,-1,-1,255,255,255,255,255,255,255,255
37,20106/02/07 06:28:15,-1,-1,255,255,255,255,255,255,255,255
38,20106/02/07 06:28:15,-1,-1,255,255,255,255,255,255,255,255
39,20106/02/07 06:28:15,-1,-1,255,255,255,255,255,255,255,255
40,20106/02/07 06:28:15,-1,-1,255,255,255,255,255,255,255,255
