address,date,unixtime,uptime,state,sub_state,event,payload0,payload1,payload2,payload3,payload4
0,2022/03/22 07:48:37,1647935317,230757,0,0,200,250,255,164,3,0
1,2022/03/22 07:48:40,1647935320,233104,0,0,200,251,255,164,3,0
2,2022/03/22 07:48:42,1647935322,235734,0,0,200,252,255,164,3,0
3,2022/03/22 07:48:45,1647935325,238010,0,0,200,254,255,164,3,0
4,2022/03/22 07:48:45,1647935325,238580,0,0,200,252,255,164,3,0
5,2022/03/22 07:48:45,1647935325,238791,0,0,200,254,255,164,3,0
6,2022/03/22 07:48:48,1647935328,210,0,0,69,24,0,0,0,10
7,2022/03/22 07:48:49,1647935329,749,0,0,200,255,255,164,3,0
8,2022/03/22 07:48:54,1647935334,6093,0,0,200,255,255,164,3,0
9,2022/03/22 07:49:17,1647935357,29800,0,0,200,254,255,115,3,0
10,2022/03/22 07:49:21,1647935361,33009,0,0,200,255,255,71,1,0
11,20106/02/07 06:28:15,-1,-1,255,255,255,255,255,255,255,255
12,2022/04/24 10:43:09,1650796989,632,0,0,69,24,0,0,0,10
13,2022/04/24 10:43:47,1650797027,14,0,0,69,4,0,0,0,12
14,2022/04/24 10:43:47,1650797027,11,0,0,69,4,0,0,0,12
15,2022/04/24 10:47:25,1650797245,218681,0,0,200,255,255,65,3,0
16,20106/02/07 06:28:15,-1,-1,255,255,255,255,255,255,255,255
17,2022/04/24 11:44:05,1650800645,679,0,0,69,24,0,0,0,12
18,2022/04/24 11:44:30,1650800670,25608,0,0,10,0,0,0,0,0
19,2022/04/24 11:44:37,1650800677,32951,0,0,10,1,0,0,0,0
20,2022/04/24 11:44:41,1650800681,36407,0,0,10,2,0,0,0,0
21,2022/04/24 11:44:45,1650800685,40994,0,0,10,3,0,0,0,0
22,2022/04/24 11:45:47,1650800747,102070,0,0,19,0,0,0,0,0
23,2022/04/24 11:46:21,1650800781,136633,0,0,19,1,0,0,0,0
24,2022/04/24 11:46:32,1650800792,147768,0,0,19,2,0,0,0,0
25,2022/04/24 11:46:39,1650800799,154451,0,0,19,3,0,0,0,0
26,2022/04/24 11:49:35,1650800975,330587,0,0,19,2,0,0,0,0
27,2022/04/24 11:53:23,1650801203,558632,0,0,16,0,0,0,0,0
28,2022/04/24 11:55:09,1650801309,664470,0,0,17,0,0,0,0,0
29,2022/04/24 11:56:26,1650801386,741239,0,0,16,1,0,0,0,0
30,2022/04/24 11:56:50,1650801410,765700,0,0,17,1,0,0,0,0
31,2022/04/24 11:57:14,1650801434,789568,0,0,16,2,0,0,0,0
32,2022/04/24 11:57:21,1650801441,796666,0,0,16,3,0,0,0,0
33,2022/04/24 11:58:00,1650801480,835026,0,0,16,3,0,0,0,0
34,2022/04/24 11:58:27,1650801507,862176,0,0,16,0,0,0,0,0
35,2022/04/24 11:58:41,1650801521,876096,0,0,17,0,0,0,0,0
36,2022/04/24 11:58:54,1650801534,889047,0,0,17,2,0,0,0,0
37,2022/04/24 11:59:02,1650801542,897308,0,0,17,3,0,0,0,0
38,2022/04/24 11:59:33,1650801573,928402,0,0,16,3,0,0,0,0
39,2022/04/24 11:59:44,1650801584,939704,0,0,17,3,0,0,0,0
40,2022/04/24 11:59:54,1650801594,949031,0,0,16,3,0,0,0,0
41,2022/04/24 11:59:56,1650801596,951939,0,0,17,3,0,0,0,0
42,2022/04/24 12:00:36,1650801636,991011,0,0,11,0,0,0,0,0
43,2022/04/24 12:00:47,1650801647,1002660,0,0,11,1,0,0,0,0
44,2022/04/24 12:00:58,1650801658,1013685,0,0,11,2,0,0,0,0
45,2022/04/24 12:01:17,1650801677,1032826,0,0,11,3,0,0,0,0
46,2022/04/24 12:01:40,1650801700,1055154,0,0,12,0,0,0,0,0
47,2022/04/24 12:01:50,1650801710,1065763,0,0,12,1,0,0,0,0
48,2022/04/24 12:02:17,1650801737,1092956,0,0,16,0,0,0,0,0
49,2022/04/24 12:02:26,1650801746,1101131,0,0,12,0,0,0,0,0
50,2022/04/24 12:02:37,1650801757,1112317,0,0,13,0,0,0,0,0
51,2022/04/24 12:02:46,1650801766,1121934,0,0,16,1,0,0,0,0
52,2022/04/24 12:02:55,1650801775,1130045,0,0,12,1,0,0,0,0
53,2022/04/24 12:03:04,1650801784,1139889,0,0,13,1,0,0,0,0
54,2022/04/24 12:03:11,1650801791,1146150,0,0,16,2,0,0,0,0
55,2022/04/24 12:03:17,1650801797,1152172,0,0,12,2,0,0,0,0
56,2022/04/24 12:03:23,1650801803,1158286,0,0,13,2,0,0,0,0
57,2022/04/24 12:03:28,1650801808,1163909,0,0,16,3,0,0,0,0
58,2022/04/24 12:03:35,1650801815,1170739,0,0,12,3,0,0,0,0
59,2022/04/24 12:03:43,1650801823,1178828,0,0,13,3,0,0,0,0
60,2022/04/24 12:07:56,1650802076,1431704,0,0,1,102,108,105,103,0
61,2022/04/24 12:08:10,1650802090,1445242,0,0,1,102,108,105,103,0
62,2022/04/24 12:08:26,1650802106,1461556,0,0,1,103,111,112,114,1
63,2022/04/24 12:09:04,1650802144,1499777,0,0,19,0,0,0,0,0
64,2022/04/24 12:09:12,1650802152,1507798,0,0,14,0,0,0,0,0
65,2022/04/24 12:09:38,1650802178,1533866,0,0,19,1,0,0,0,0
66,2022/04/24 12:09:46,1650802186,1541333,0,0,14,1,0,0,0,0
67,2022/04/24 12:09:56,1650802196,1551879,0,0,19,2,0,0,0,0
68,2022/04/24 12:10:00,1650802200,1555824,0,0,14,2,0,0,0,0
69,2022/04/24 12:10:10,1650802210,1565704,0,0,19,3,0,0,0,0
70,2022/04/24 12:10:15,1650802215,1570471,0,0,14,3,0,0,0,0
71,2022/04/24 12:10:19,1650802219,1574652,0,0,200,255,255,120,3,0
72,2022/04/24 12:10:24,1650802224,1579064,0,0,200,255,255,120,3,0
73,2022/04/24 12:10:28,1650802228,1583714,0,0,15,0,0,0,0,0
74,2022/04/24 12:10:41,1650802241,1596175,0,0,200,255,255,120,3,0
75,2022/04/24 12:10:46,1650802246,1601042,0,0,200,255,255,120,3,0
76,2022/04/24 12:10:50,1650802250,1605108,0,0,15,1,0,0,0,0
77,2022/04/24 12:10:53,1650802253,1608966,0,0,15,2,0,0,0,0
